16324	75552	36958	148465	
19622	3240031	58879	140965	
18648	1006205	43592	139698	
17563	373100	36750	142143	
18806	468999	49323	130002	
15636	289274	26469	142165	
15258	175348	28410	127663	
16443	198615	25599	129384	
19026	149194	33807	127589	
15656	134400	37663	131069	
16303	127353	40049	132895	
17483	168648	37378	128222	
13634	124846	41763	146412	
14848	132437	33726	133462	
15007	131123	35759	137096	
13119	105798	31720	132528	
14399	118423	42147	133110	
20849	116972	26127	137447	
17164	92537	44242	133683	
16370	97993	27046	118224	
17117	83462	35748	130736	
16180	95687	31061	129623	
19748	3264075	47856	121587	
19724	1928019	37071	115676	
17629	529837	23181	109461	
18175	464844	20432	112584	
16343	286009	20709	103367	
15994	236516	17841	104530	
15981	259549	21785	103137	
18642	195038	35168	90541	
21498	217562	33815	100995	
