35890	105689	20239	170550	
43165	1658609	38237	170012	
50014	698789	23744	177840	
48067	521696	26844	180765	
44182	440087	35918	169171	
35239	212740	26050	180385	
35181	190404	23471	151396	
36934	161975	15438	166420	
44155	166639	17560	164921	
44809	161151	28706	173708	
46096	227938	34648	179299	
39785	253371	31982	168057	
32832	160527	27636	177864	
32175	149259	25374	168781	
32280	131613	23831	167795	
37086	165849	22926	172240	
42020	166197	17328	179027	
54240	195180	26019	180603	
40471	126359	22209	171455	
34294	175510	26535	151153	
37617	135308	28887	169047	
36820	142252	23169	162830	
45554	1638037	31241	160430	
54476	1509592	28236	173537	
52104	1145359	30939	174031	
43010	414088	26329	164959	
40435	405177	18425	161064	
39806	232301	16873	158302	
39725	252769	18060	164010	
48295	260925	28426	165297	
54729	752777	42615	177240	
