44862	156967	25527	177977	
44852	153243	20552	177312	
44938	228866	25046	201401	
51829	173781	18816	204698	
60266	186639	23367	205568	
57577	233220	38983	215741	
47292	188377	27111	207959	
48571	706550	25677	203204	
45351	471867	21404	201797	
44570	200661	18962	195369	
83345	521438	37985	192793	
75667	339479	42835	201396	
68851	211734	26782	204369	
52768	204598	24957	188565	
50086	317953	27041	183584	
50566	214910	20400	181224	
43651	489167	22936	151259	
49737	720244	30870	182712	
58692	319067	27956	190226	
56753	338918	27465	191983	
45730	237783	27736	183389	
44813	364886	30899	181137	
43443	276226	37183	175265	
43207	310654	30998	179820	
48050	222222	29453	178864	
57287	233091	30344	187183	
53625	238399	29287	192117	
42321	135662	25515	182295	
27403	84516	18463	123747	
35809	95091	26955	172152	
