2016-11-01	1	44862
2016-11-01	2	156967
2016-11-01	4	25527
2016-11-01	5	177977
2016-11-02	1	44852
2016-11-02	2	153243
2016-11-02	4	20552
2016-11-02	5	177312
2016-11-03	1	44938
2016-11-03	2	228866
2016-11-03	4	25046
2016-11-03	5	201401
2016-11-04	1	51829
2016-11-04	2	173781
2016-11-04	4	18816
2016-11-04	5	204698
2016-11-05	1	60266
2016-11-05	2	186639
2016-11-05	4	23367
2016-11-05	5	205568
2016-11-06	1	57577
2016-11-06	2	233220
2016-11-06	4	38983
2016-11-06	5	215741
2016-11-07	1	47292
2016-11-07	2	188377
2016-11-07	4	27111
2016-11-07	5	207959
2016-11-08	1	48571
2016-11-08	2	706550
2016-11-08	4	25677
2016-11-08	5	203204
2016-11-09	1	45351
2016-11-09	2	471867
2016-11-09	4	21404
2016-11-09	5	201797
2016-11-10	1	44570
2016-11-10	2	200661
2016-11-10	4	18962
2016-11-10	5	195369
2016-11-11	1	83345
2016-11-11	2	521438
2016-11-11	4	37985
2016-11-11	5	192793
2016-11-12	1	75667
2016-11-12	2	339479
2016-11-12	4	42835
2016-11-12	5	201396
2016-11-13	1	68851
2016-11-13	2	211734
2016-11-13	4	26782
2016-11-13	5	204369
2016-11-14	1	52768
2016-11-14	2	204598
2016-11-14	4	24957
2016-11-14	5	188565
2016-11-15	1	50086
2016-11-15	2	317953
2016-11-15	4	27041
2016-11-15	5	183584
2016-11-16	1	50566
2016-11-16	2	214910
2016-11-16	4	20400
2016-11-16	5	181224
2016-11-17	1	43651
2016-11-17	2	489167
2016-11-17	4	22936
2016-11-17	5	151259
2016-11-18	1	49737
2016-11-18	2	720244
2016-11-18	4	30870
2016-11-18	5	182712
2016-11-18	40000001	1
2016-11-18	40000003	70414
2016-11-19	1	58692
2016-11-19	2	319067
2016-11-19	4	27956
2016-11-19	5	190226
2016-11-19	40000003	75185
2016-11-20	1	56753
2016-11-20	2	338918
2016-11-20	4	27465
2016-11-20	5	191983
2016-11-20	40000003	78969
2016-11-21	1	45730
2016-11-21	2	237783
2016-11-21	4	27736
2016-11-21	5	183389
2016-11-21	40000003	59543
2016-11-22	1	44813
2016-11-22	2	364886
2016-11-22	4	30899
2016-11-22	5	181137
2016-11-22	40000003	62511
2016-11-23	1	43443
2016-11-23	2	276226
2016-11-23	4	37183
2016-11-23	5	175265
2016-11-23	40000003	59533
2016-11-24	1	43207
2016-11-24	2	310654
2016-11-24	4	30998
2016-11-24	5	179820
2016-11-24	40000003	93621
2016-11-25	1	48050
2016-11-25	2	222222
2016-11-25	4	29453
2016-11-25	5	178864
2016-11-25	40000003	73201
2016-11-26	1	57287
2016-11-26	2	233091
2016-11-26	4	30344
2016-11-26	5	187183
2016-11-26	40000003	87542
2016-11-27	1	53625
2016-11-27	2	238399
2016-11-27	4	29287
2016-11-27	5	192117
2016-11-27	40000003	84343
2016-11-28	1	42321
2016-11-28	2	135662
2016-11-28	4	25515
2016-11-28	5	182295
2016-11-28	40000003	16877
2016-11-29	1	27403
2016-11-29	2	84516
2016-11-29	4	18463
2016-11-29	5	123747
2016-11-29	40000003	6107
2016-11-30	1	35809
2016-11-30	2	95091
2016-11-30	4	26955
2016-11-30	5	172152
2016-11-30	40000003	6684
