2017-01-01	1	57784
2017-01-01	2	1047890
2017-01-01	4	60528
2017-01-01	5	180265
2017-01-01	20000093	62600
2017-01-01	40000001	153
2017-01-01	40000003	830
2017-01-01	40000006	1197
2017-01-02	1	48031
2017-01-02	2	479895
2017-01-02	4	226279
2017-01-02	5	193637
2017-01-02	20000093	200982
2017-01-02	40000001	100
2017-01-02	40000003	635
2017-01-02	40000006	875
2017-01-03	1	29377
2017-01-04	2	200161
2017-01-03	4	25056
2017-01-04	5	90367
2017-01-03	20000093	14889
2017-01-03	40000001	41
2017-01-03	40000003	241
2017-01-03	40000006	332
2017-01-04	1	39036
2017-01-04	2	237961
2017-01-04	4	34343
2017-01-04	5	184522
2017-01-04	20000093	26410
2017-01-04	40000001	80
2017-01-04	40000003	324
2017-01-04	40000006	268
2017-01-05	1	39978
2017-01-05	2	320029
2017-01-05	4	28284
2017-01-05	5	185006
2017-01-05	20000093	250
2017-01-05	40000001	96
2017-01-05	40000003	236
2017-01-05	40000006	350
2017-01-06	1	45574
2017-01-06	2	220855
2017-01-06	4	25803
2017-01-06	5	181958
2017-01-06	20000093	90
2017-01-06	40000001	44
2017-01-06	40000003	330
2017-01-06	40000006	291
2017-01-07	1	50788
2017-01-07	2	224874
2017-01-07	4	38976
2017-01-07	5	193948
2017-01-07	20000093	90
2017-01-07	40000001	80
2017-01-07	40000003	325
2017-01-07	40000006	361
2017-01-08	1	49705
2017-01-08	2	263657
2017-01-08	4	30736
2017-01-08	5	192747
2017-01-08	20000093	70
2017-01-08	40000001	78
2017-01-08	40000003	338
2017-01-08	40000006	464
2017-01-09	1	43961
2017-01-09	2	410142
2017-01-09	4	27884
2017-01-09	5	185728
2017-01-09	20000093	50
2017-01-09	40000001	45
2017-01-09	40000003	346
2017-01-09	40000006	42
2017-01-10	1	40793
2017-01-10	2	270172
2017-01-10	4	33507
2017-01-10	5	186746
2017-01-10	20000093	80
2017-01-10	40000001	32
2017-01-10	40000003	231
2017-01-10	40000006	145
2017-01-11	1	44679
2017-01-11	2	142608
2017-01-11	4	28722
2017-01-11	5	186403
2017-01-11	20000093	30
2017-01-11	40000001	48
2017-01-11	40000003	209
2017-01-11	40000006	80
2017-01-12	1	46588
2017-01-12	2	164535
2017-01-12	4	22102
2017-01-12	5	190175
2017-01-12	20000093	20
2017-01-12	40000001	24
2017-01-12	40000003	245
2017-01-12	40000006	202
2017-01-13	1	46065
2017-01-13	2	129870
2017-01-13	4	21391
2017-01-13	5	190126
2017-01-13	20000093	50
2017-01-13	40000001	36
2017-01-13	40000003	215
2017-01-13	40000006	254
2017-01-14	1	48616
2017-01-14	2	156448
2017-01-14	4	25668
2017-01-14	5	186196
2017-01-14	20000093	140
2017-01-14	40000001	55
2017-01-14	40000003	203
2017-01-14	40000006	304
2017-01-15	1	44584
