20293	113619	29042	141526	
20686	138474	30727	138502	
20623	226749	26945	166017	
21436	210791	23129	164839	
22556	206176	15966	135250	
23107	185057	31340	157321	
20309	156065	21924	149215	
29226	1781471	35011	149792	
21578	851114	28937	142476	
19451	405875	18306	136496	
33882	309704	19107	129166	
26666	263977	23090	136599	
25222	234712	19828	135128	
22452	168427	17269	121140	
20430	105422	20811	119295	
18950	109581	20692	114462	
21330	219280	67159	130117	
21062	809843	38979	143130	
21988	328102	38599	145835	
19644	239918	39121	150554	
18867	205535	38591	149430	
17603	226625	48602	153881	
17804	202866	50308	141749	
16826	209768	37182	145919	
17960	167092	36050	143254	
19053	160622	38690	145792	
18202	147654	43790	146342	
16766	111519	37572	146215	
16112	107646	45618	153095	
17727	87752	43652	147197	
