57784	1047890	60528	180265	
48031	479895	226279	193637	
29377	200161	25056	90367	
39036	237961	34343	184522	
39978	320029	28284	185006	
45574	220855	25803	181958	
50788	224874	38976	193948	
49705	263657	30736	192747	
43961	410142	27884	185728	
40793	270172	33507	186746	
44679	142608	28722	186403	
46588	164535	22102	190175	
46065	129870	21391	190126	
48616	156448	25668	186196	
44584	192690	28672	189256	
47839	129844	25569	188746	
45137	175167	21859	158078	
62440	162412	24024	179427	
49090	133572	20433	180664	
49528	138809	29329	180968	
47872	142160	36050	182491	
47097	152299	30515	183268	
45677	119664	24405	181385	
60406	2406692	38287	163503	
51895	1052531	28365	159899	
48684	623318	22851	157135	
51403	1098075	41836	133971	
47895	847430	46629	145033	
47141	627084	31006	140554	
45951	493693	33817	144230	
44573	351331	26904	146272	
43582	412356	35563	145730	
42272	364871	46205	149366	
41132	299702	31938	155443	
41841	314897	27232	159119	
41824	347815	38749	164072	
40825	258580	24105	164341	
41771	251088	20913	168549	
42128	215782	22502	170542	
41450	204831	23810	171547	
66230	868013	34585	160478	
50046	800088	27859	167126	
42872	384227	22101	166686	
34731	336542	23223	157173	
33615	421689	23147	153298	
31138	269708	22874	153819	
31892	252708	17403	154876	
35727	221326	17194	156989	
59019	280392	24493	161590	
45983	303756	23543	161336	
37304	221249	21895	146319	
34930	185554	21577	144055	
35554	176960	19165	147304	
33377	165676	19992	142098	
